"","ch.exp","ch.imp"
"1",13,16.8
"2",16.95,17.6
"3",20.23,20.7
"4",20.57,20.5
"5",22.02,20.6
"6",22.64,19.5
"7",20.53,21.6
"8",21.06,20.8
"9",21.49,26.1
"10",20.66,26.5
"11",20.16,30.1
"12",24.85,35.3
"13",16.41,26
"14",15.48,28.2
"15",19.68,32.2
"16",18.65,31
"17",20.13,35.2
"18",22.62,34.9
"19",19.61,34.7
"20",21.72,34.5
"21",22.23,36.3
"22",30.78,34.5
"23",24.18,37.6
"24",27.67,61.4
"25",19.31,23
"26",18.61,31.3
"27",21.32,33.6
"28",20.88,38.6
"29",22.55,34.9
"30",25.72,37.7
"31",21.3,34.3
"32",23.83,36.2
"33",22.88,34.2
"34",24.2,33.9
"35",23.03,36.2
"36",26.51,55.4
"37",24.17,20.6
"38",28.32,29.2
"39",30.64,33.4
"40",27.81,35.3
"41",29.84,33.3
"42",34.47,34.6
"43",28.26,34.3
"44",29.9,34.9
"45",30.3,37.1
"46",28.01,33.9
"47",25.58,40.9
"48",29.81,65.6
"49",32.24,23.6
"50",29.61,31.5
"51",32.44,40.5
"52",35.65,43.2
"53",32.95,43.9
"54",35.78,39.4
"55",36.62,44.7
"56",32.27,47.5
"57",35.01,49.6
"58",32.27,46.1
"59",30.17,55.8
"60",41.38,87.6
"61",28.11,29.2
"62",29.17,36.4
"63",39.34,50
"64",39.38,58.1
"65",44.29,53.1
"66",42.25,53.7
"67",44.05,51.8
"68",48.15,50.8
"69",47.73,44.2
"70",46.15,46.9
"71",48.26,48.9
"72",68.23,68.2
"73",28.42,25.7
"74",32.53,35.3
"75",46.92,38.8
"76",48.01,43.1
"77",49.63,45.6
"78",50.99,42.6
"79",51.2,44
"80",55.13,45.9
"81",51.15,43
"82",58.8,45.5
"83",57.91,48.9
"84",90.12,74.1
"85",39.78,30.7
"86",40.61,31.2
"87",53.53,49.4
"88",52.83,52
"89",58.67,52.4
"90",59.21,52
"91",63.8,52.8
"92",64.77,56
"93",62.27,55.88
"94",62.36,52.9
"95",66.22,57.7
"96",95.6,94.7
"97",39.66,30.2
"98",49.7,48.5
"99",60,58.9
"100",63.62,60.8
"101",66.27,63.6
"102",76.58,68.3
"103",71.6,62.7
"104",76.5,63.7
"105",70.63,68.4
"106",76.87,71.7
"107",85.27,76.3
"108",113.23,133.4
"109",33.58,32
"110",58.24,64.7
"111",69.07,75.8
"112",69,75
"113",72.14,85.1
"114",69.55,73.7
"115",76.27,87.6
"116",76.38,87.4
"117",88.42,95.6
"118",80.52,86.3
